,no,G_ID,GDAY_DS,T_ID,WLS,P1,P2,P3,P4,D1,D2,D3,B1,B2,B3,B4,C1,C2,C3,C4,S1,S2,W,WS,WC,YEAR,p1,p2,p3,p4,d1,d2,d3,b1,b2,b3,b4,c1,c2,c3,c4,s1,s2,P,D,B,C,S
2627,35,20170512WOSS0,20170512,SS,W,0.258064516,1,0.322580645,0.222222222,0,3,0,0.310344828,2,0.34375,0.379310345,0,0.137931034,0.4,4,1,1,WIN,3,3946,2017,0.288030298,0.04040404,0.64516129,0.161616161,0,0.75,0,0.483085251,0.142857143,0.510583524,0.266712612,0,0.283121596,0.4,0.222222222,0.2,1,0.788777698,0.916666667,0.726361091,0.365224843,0.6
2628,36,20170513WOSS0,20170513,SS,L,0.388888889,5,0.166666667,0,1,1,0,0.212121212,2,0.257142857,0.636363636,2,0.121212121,0.5,4,1,0.5,LOSE,0,3946,2017,0.487298318,0.202020202,0.333333334,0,0.5,0.25,0,0.286505105,0.142857143,0.349656751,0.487626088,0.285714286,0.248803827,0.5,0.222222222,0.2,0.5,0.661003703,0.583333333,0.486084259,0.453073973,0.35
2629,37,20170514WOSS0,20170514,SS,L,0.294117647,5,0.323529412,0.333333333,0,0,0,0.264705882,0,0.264705882,0.617647059,1,0.088235294,0.25,4,0,0.723593074,LOSE,0,3946,2017,0.342945417,0.202020202,0.647058824,0.242424242,0,0,0,0.391745602,0,0.363709786,0.471540925,0.142857143,0.181114551,0.25,0.222222222,0,0.723593074,0.714917241,0.666666667,0.526294245,0.337937368,0.361796537
2630,38,20170516SSSK0,20170516,SS,W,0.233333333,2,0.333333333,0.333333333,0,1,0,0.27027027,6,0.372093023,0.540540541,1,0.216216216,0.461538462,8,0,0.723593074,WIN,3,3949,2017,0.250360453,0.080808081,0.666666666,0.242424242,0,0.25,0,0.402881907,0.428571429,0.563248363,0.40527502,0.142857143,0.443812233,0.461538462,0.444444444,0,0.723593074,0.773268473,0.75,0.561715387,0.400940848,0.361796537
2631,39,20170517SSSK0,20170517,SS,W,0.272727273,2,0.212121212,0.333333333,0,0,0,0.277777778,3,0.307692308,0.527777778,1,0.111111111,0.090909091,9,1,0.5,WIN,3,3952,2017,0.310364199,0.080808081,0.424242424,0.242424242,0,0,0,0.417907082,0.214285714,0.443583877,0.394306609,0.142857143,0.228070175,0.090909091,0.5,0.2,0.5,0.697661476,0.666666667,0.516082036,0.240459102,0.35
2632,40,20170518SSSK0,20170518,SS,L,0.424242424,4.5,0.151515152,0.375,0,2,1,0.107142857,5,0.242424242,0.107142857,0,0,0,4,0,0,LOSE,0,3952,2017,0.541147832,0.181818182,0.303030304,0.272727273,0,0.5,0.25,0.076406341,0.357142857,0.322307745,0.032809885,0,0,0,0.222222222,0,0,0.576834254,0.75,0.331708564,0.194444444,0
2633,41,20170519SSHH0,20170519,SS,W,0.34375,2,0.3125,0.333333333,0,2,0,0.323529412,2,0.333333333,0.617647059,1,0.176470588,0.4,5,1,1,WIN,3,3955,2017,0.418544027,0.080808081,0.625,0.242424242,0,0.5,0,0.50947226,0.142857143,0.49122807,0.471540925,0.142857143,0.362229102,0.4,0.277777778,0.2,1,0.720805912,0.833333333,0.688534811,0.406827117,0.6
2634,42,20170520SSHH0,20170520,SS,W,0.43902439,8,0.170731707,1,0,1,2,0.35,6,0.425531915,0.75,2,0.2,0.230769231,10,1,1,WIN,3,3958,2017,0.563663309,0.323232323,0.341463414,0.727272727,0,0.25,0.5,0.562449256,0.428571429,0.662544428,0.58528601,0.285714286,0.410526316,0.230769231,0.555555556,0.2,1,0.431823764,0.583333333,0.553789274,0.342863569,0.6
2635,43,20170521SSHH0,20170521,SS,W,0.538461538,7,0.282051282,0.333333333,0,1,0,0.27027027,3,0.307692308,0.648648649,3,0.189189189,0.222222222,6,5,1,WIN,3,3961,2017,0.715123187,0.282828283,0.564102564,0.242424242,0,0.25,0,0.402881907,0.214285714,0.443583877,0.498183918,0.428571429,0.388335704,0.222222222,0.333333333,1,1,0.580931713,0.75,0.832732928,0.426449005,1
2636,44,20170523KTSS0,20170523,SS,L,0.545454545,12,0.181818182,0.666666667,0,0,0,0.181818182,1,0.205882353,0.333333333,0,0.090909091,0.142857143,4,0,0.723593074,LOSE,0,3961,2017,0.72577474,0.484848485,0.363636364,0.484848485,0,0,0,0.22585804,0.071428571,0.2544084,0.227199632,0,0.186602871,0.142857143,0.222222222,0,0.723593074,0.417041164,0.666666667,0.451825226,0.276809448,0.361796537
2637,45,20170524KTSS0,20170524,SS,L,0.473684211,8.1,0.210526316,0.3,1,1,0,0.325,12,0.471698113,0.55,1,0.2,0.416666667,13,1,1,LOSE,0,3961,2017,0.616456177,0.327272727,0.421052632,0.218181818,0.5,0.25,0,0.512415426,0.857142857,0.748326929,0.413404549,0.142857143,0.410526316,0.416666667,0.722222222,0.2,1,0.564785477,0.583333333,0.587029703,0.311956976,0.6
2638,46,20170525KTSS0,20170525,SS,W,0.28125,4,0.375,0.333333333,0,0,0,0.172413793,6,0.305555556,0.517241379,2,0.206896552,0.222222222,6,1,1,WIN,3,3964,2017,0.323345778,0.161616162,0.75,0.242424242,0,0,0,0.207036536,0.428571429,0.439613528,0.38525155,0.285714286,0.424682396,0.222222222,0.333333333,0.2,1,0.755653455,0.666666667,0.65558003,0.399821393,0.6
2639,47,20170526SSWO0,20170526,SS,L,0.604651163,20.25,0.069767442,1.125,0,1,0,0.21875,7,0.333333333,0.28125,0,0.09375,0.111111111,10,1,0.5,LOSE,0,3964,2017,0.81594137,0.818181818,0.139534884,0.818181818,0,0.25,0,0.299771651,0.5,0.49122807,0.182438835,0,0.192434211,0.111111111,0.555555556,0.2,0.5,0.171807469,0.75,0.405451867,0.186997442,0.35
2640,48,20170527SSWO0,20170527,SS,L,0.457142857,7.875,0.171428571,0.75,0,1,2,0.2,1,0.222222222,0.457142857,1,0.114285714,0.25,5,0,0.723593074,LOSE,0,3964,2017,0.59126085,0.318181818,0.342857142,0.545454545,0,0.25,0.5,0.262246279,0.071428571,0.284769896,0.333602442,0.142857143,0.234586466,0.25,0.277777778,0,0.723593074,0.471989982,0.583333333,0.444729097,0.337416458,0.361796537
2641,49,20170528SSWO0,20170528,SS,W,0.444444444,2,0.277777778,0.666666667,1,3,0,0.303030303,8,0.43902439,0.727272727,0,0.060606061,0.125,11,3,0.75,WIN,3,3967,2017,0.571918983,0.080808081,0.555555556,0.484848485,0.5,0.75,0,0.468446304,0.571428571,0.687615114,0.565754025,0,0.124401915,0.125,0.611111111,0.6,0.75,0.604495002,0.75,0.67612375,0.159572701,0.675
2642,50,20170530LTSS0,20170530,SS,L,0.290322581,1,0.161290323,0.111111111,0,2,0,0.178571429,5,0.303030303,0.178571429,0,0,0,8,0,0.723593074,LOSE,0,3967,2017,0.337164879,0.04040404,0.322580646,0.080808081,0,0.5,0,0.21936014,0.357142857,0.434921296,0.094196121,0,0,0,0.444444444,0,0.723593074,0.716050911,0.833333333,0.56824433,0.138888889,0.361796537
2643,51,20170531LTSS0,20170531,SS,W,0.303030303,4,0.181818182,1,0,0,1,0.333333333,3,0.342857143,0.696969697,1,0.242424242,0.545454545,2,0,0,WIN,3,3970,2017,0.356520925,0.161616162,0.363636364,0.727272727,0,0,0.25,0.529093369,0.214285714,0.508924486,0.53971138,0.142857143,0.497607655,0.545454545,0.111111111,0,0,0.529556637,0.583333333,0.278222493,0.518702058,0
2644,52,20170601LTSS0,20170601,SS,W,0.258064516,2,0.064516129,0.222222222,0,1,0,0.351351351,3,0.4,0.675675676,1,0.324324324,0.6,3,1,1,WIN,3,3973,2017,0.288030298,0.080808081,0.129032258,0.161616161,0,0.25,0,0.565153787,0.214285714,0.615102975,0.521411143,0.142857143,0.66571835,0.6,0.166666667,0.2,1,0.649644429,0.75,0.649911107,0.560477206,0.6
2645,53,20170602HTSS0,20170602,SS,W,0.172413793,1,0.24137931,0.222222222,0,1,0,0.4,5,0.45,0.571428571,1,0.142857143,0.133333333,13,3,1,WIN,3,3976,2017,0.157569516,0.04040404,0.48275862,0.161616161,0,0.25,0,0.662516915,0.357142857,0.708009154,0.431820419,0.142857143,0.293233083,0.133333333,0.722222222,0.6,1,0.780792226,0.75,0.782698056,0.211800334,0.8
2646,54,20170603HTSS0,20170603,SS,W,0.289473684,4.5,0.210526316,0.8,0,1,2,0.333333333,7,0.4,0.948717949,3,0.153846154,0.166666667,13,1,1,WIN,3,3979,2017,0.335871863,0.181818182,0.421052632,0.581818182,0,0.25,0.5,0.529093369,0.5,0.615102975,0.756065666,0.428571429,0.315789474,0.166666667,0.722222222,0.2,1,0.580386101,0.583333333,0.590929859,0.297201337,0.6
2647,55,20170604HTSS0,20170604,SS,L,0.581395349,13,0.11627907,0.444444444,0,1,1,0.205882353,7,0.317073171,0.352941176,0,0.088235294,0.153846154,12,0,0.723593074,LOSE,0,3979,2017,0.780518766,0.525252525,0.23255814,0.323232323,0,0.25,0.25,0.274018945,0.5,0.46101468,0.244050756,0,0.181114551,0.153846154,0.666666667,0,0.723593074,0.400888632,0.666666667,0.447787093,0.16707351,0.361796537
2648,56,20170606SSOB0,20170606,SS,W,0.378378378,9,0.27027027,0.9,0,1,0,0.375,4,0.411764706,0.708333333,1,0.208333333,0.4375,11,0,0.723593074,WIN,3,3982,2017,0.471289002,0.363636364,0.54054054,0.654545455,0,0.25,0,0.612483085,0.285714286,0.636963253,0.549477372,0.142857143,0.427631578,0.4375,0.611111111,0,0.723593074,0.51276743,0.75,0.496590126,0.349219403,0.361796537
2649,57,20170607SSOB0,20170607,SS,L,0.473684211,10.125,0.210526316,0.5,0,0,1,0.27027027,3,0.325,0.648648649,1,0.162162162,0.272727273,6,0,0.723593074,LOSE,0,3982,2017,0.616456177,0.409090909,0.421052632,0.363636364,0,0,0.25,0.402881907,0.214285714,0.475743707,0.498183918,0.142857143,0.332859175,0.272727273,0.333333333,0,0.723593074,0.507967295,0.583333333,0.453723426,0.353777564,0.361796537
2650,58,20170608SSOB0,20170608,SS,L,0.275862069,3.724137931,0.137931034,0.827586207,0,1,1,0.181818182,4,0.27027027,0.303030303,1,0.090909091,0.142857143,5,2,1,LOSE,0,3982,2017,0.315139032,0.150470219,0.275862068,0.601880878,0,0.25,0.25,0.22585804,0.285714286,0.374049106,0.201156987,0.142857143,0.186602871,0.142857143,0.277777778,0.4,1,0.552092985,0.666666667,0.654689913,0.298634845,0.7
2651,59,20170609SSHH0,20170609,SS,W,0.405405405,5,0.108108108,0.111111111,0,0,0,0.351351351,6,0.404761905,0.675675676,1,0.189189189,0.375,9,0,0,WIN,3,3985,2017,0.512455813,0.202020202,0.216216216,0.080808081,0,0,0,0.565153787,0.428571429,0.623951183,0.521411143,0.142857143,0.388335704,0.375,0.5,0,0,0.60523303,0.666666667,0.317974924,0.351548212,0
2652,60,20170610SSHH0,20170610,SS,L,0.424242424,11.25,0.121212121,0.625,0,1,3,0.272727273,0,0.272727273,0.393939394,0,0.060606061,0.5,4,0,0.723593074,LOSE,0,3985,2017,0.541147832,0.454545455,0.242424242,0.454545455,0,0.25,0.75,0.407799238,0,0.378614521,0.279284924,0,0.124401915,0.5,0.222222222,0,0.723593074,0.448046375,0.5,0.417909862,0.350544923,0.361796537
2653,61,20170611SSHH0,20170611,SS,W,0.323529412,4,0.117647059,0.666666667,0,2,0,0.297297297,5,0.341463415,0.540540541,1,0.189189189,0.3,9,0,0.723593074,WIN,3,3988,2017,0.387744594,0.161616162,0.235294118,0.484848485,0,0.5,0,0.456972534,0.357142857,0.506334767,0.40527502,0.142857143,0.388335704,0.3,0.5,0,0.723593074,0.550271219,0.833333333,0.526799407,0.332798212,0.361796537
2654,62,20170613KTSS0,20170613,SS,W,0.181818182,0,0.242424242,0.333333333,0,0,0,0.290322581,3,0.342857143,0.419354839,0,0.129032258,0.375,7,3,0.75,WIN,3,3991,2017,0.171894018,0,0.484848484,0.242424242,0,0,0,0.443013664,0.214285714,0.508924486,0.301127143,0,0.264855688,0.375,0.388888889,0.6,0.75,0.767632556,0.666666667,0.696074806,0.3127417,0.675
2655,63,20170614KTSS0,20170614,SS,L,0.333333333,7,0.194444444,0.222222222,0,0,0,0.257142857,1,0.277777778,0.542857143,1,0.114285714,0.5,4,4,0.8,LOSE,0,3991,2017,0.402677652,0.282828283,0.388888888,0.161616161,0,0,0,0.376609318,0.071428571,0.387998984,0.407265925,0.142857143,0.234586466,0.5,0.222222222,0.8,0.8,0.635441698,0.666666667,0.725527091,0.413805347,0.8
2656,64,20170615KTSS0,20170615,SS,W,0.375,2,0.09375,0.111111111,0,1,0,0.266666667,6,0.388888889,0.466666667,1,0.2,0.25,7,1,1,WIN,3,3994,2017,0.466143152,0.080808081,0.1875,0.080808081,0,0.25,0,0.395669825,0.428571429,0.594457158,0.341787273,0.142857143,0.410526316,0.25,0.388888889,0.2,1,0.639935172,0.75,0.647483793,0.353623642,0.6
2657,65,20170616SKSS0,20170616,SS,L,0.323529412,2,0.088235294,0,0,0,0,0.181818182,2,0.228571429,0.303030303,1,0.03030303,0,8,0,0.723593074,LOSE,0,3994,2017,0.387744594,0.080808081,0.176470588,0,0,0,0,0.22585804,0.142857143,0.296567507,0.201156987,0.142857143,0.062200956,0,0.444444444,0,0.723593074,0.676979478,0.666666667,0.516809805,0.190153414,0.361796537
2658,66,20170617SKSS0,20170617,SS,L,0.619047619,14,0.095238095,0.444444444,0,1,0,0.358974359,4,0.404761905,0.641025641,0,0.230769231,0.333333333,6,1,1,LOSE,0,3994,2017,0.837869648,0.565656566,0.19047619,0.323232323,0,0.25,0,0.580410118,0.285714286,0.623951183,0.491632649,0,0.473684211,0.333333333,0.333333333,0.2,1,0.365929413,0.75,0.578982353,0.368421053,0.6
2659,67,20170618SKSS0,20170618,SS,W,0.394736842,5,0.131578947,0.222222222,0,1,0,0.28125,5,0.351351351,0.6875,2,0.1875,0.5,7,0,0,WIN,3,3997,2017,0.496205756,0.202020202,0.263157894,0.161616161,0,0.25,0,0.424856225,0.357142857,0.524707774,0.531573053,0.285714286,0.384868421,0.5,0.388888889,0,0,0.600828944,0.75,0.337707236,0.445423455,0
2660,68,20170620SSLG0,20170620,SS,L,0.4,5.625,0.266666667,0.5,0,1,1,0.205882353,1,0.228571429,0.5,2,0.088235294,0.5,5,0,0.723593074,LOSE,0,3997,2017,0.504222451,0.227272727,0.533333334,0.363636364,0,0.25,0.25,0.274018945,0.071428571,0.296567507,0.370434183,0.285714286,0.181114551,0.5,0.277777778,0,0.723593074,0.609550448,0.666666667,0.499952547,0.422262765,0.361796537
2661,69,20170621SSLG0,20170621,SS,W,0.25,3,0.25,0.333333333,0,1,0,0.257142857,4,0.289473684,0.542857143,2,0.2,0.333333333,4,2,1,WIN,3,4000,2017,0.275746653,0.121212121,0.5,0.242424242,0,0.25,0,0.376609318,0.285714286,0.409731422,0.407265925,0.285714286,0.410526316,0.333333333,0.222222222,0.4,1,0.715154246,0.75,0.716288561,0.451837928,0.7
2662,70,20170622SSLG0,20170622,SS,W,0.323529412,1,0.147058824,0.444444444,0,0,0,0.305555556,3,0.342105263,0.611111111,1,0.111111111,0.222222222,7,1,0.5,WIN,3,4003,2017,0.387744594,0.04040404,0.294117648,0.323232323,0,0,0,0.473500227,0.214285714,0.5075274,0.465923884,0.142857143,0.228070175,0.222222222,0.388888889,0.2,0.5,0.635684173,0.666666667,0.50058771,0.301065163,0.35
2663,71,20170623HHSS0,20170623,SS,W,0.21875,3,0.25,0.555555556,0,1,2,0.3125,3,0.361111111,0.5,0,0.15625,0.222222222,7,0,0.723593074,WIN,3,4006,2017,0.228147529,0.121212121,0.5,0.404040404,0,0.25,0.5,0.487398512,0.214285714,0.542842614,0.370434183,0,0.320723684,0.222222222,0.388888889,0,0.723593074,0.686649986,0.583333333,0.498394098,0.288514254,0.361796537
2664,72,20170624HHSS0,20170624,SS,W,0.290322581,2,0.096774194,0.111111111,0,3,1,0.305555556,0,0.297297297,0.861111111,3,0.222222222,0.428571429,5,0,0.723593074,WIN,3,4009,2017,0.337164879,0.080808081,0.193548388,0.080808081,0,0.75,0.25,0.473500227,0,0.424268662,0.68077571,0.428571429,0.456140351,0.428571429,0.277777778,0,0.723593074,0.673691837,0.833333333,0.557654561,0.508876358,0.361796537
2665,73,20170625HHSS0,20170625,SS,D,0.351351351,6.096774194,0.189189189,0.290322581,0,1,0,0.3,6,0.382978723,0.35,0,0.175,0.307692308,11,0,0.723593074,WIN,1,4010,2017,0.430122192,0.246334311,0.378378378,0.211143695,0,0.25,0,0.462381597,0.428571429,0.583475339,0.241523088,0,0.359210526,0.307692308,0.611111111,0,0.723593074,0.622694545,0.75,0.524071905,0.263947931,0.361796537
2666,74,20170627SSHT0,20170627,SS,L,0.5,12.375,0.1,0.25,0,0,0,0.257142857,3,0.307692308,0.571428571,1,0.085714286,0.142857143,8,2,1,LOSE,0,4010,2017,0.65653965,0.5,0.2,0.181818182,0,0,0,0.376609318,0.214285714,0.443583877,0.431820419,0.142857143,0.17593985,0.142857143,0.444444444,0.4,1,0.465410542,0.666666667,0.633019302,0.254302423,0.7
2667,75,20170628SSHT0,20170628,SS,L,0.666666667,14.625,0.095238095,0.375,0,0,0,0.27027027,1,0.289473684,0.486486486,1,0.108108108,0.375,7,0,0.723593074,LOSE,0,4010,2017,0.910401648,0.590909091,0.19047619,0.272727273,0,0,0,0.402881907,0.071428571,0.409731422,0.358820571,0.142857143,0.221906117,0.375,0.388888889,0,0.723593074,0.354109544,0.666666667,0.436092321,0.337718593,0.361796537
2668,76,20170629SSHT0,20170629,SS,L,0.725490196,24.75,0.078431373,0.625,0,2,2,0.133333333,0,0.133333333,0.2,0,0.033333333,0.333333333,2,0,0.723593074,LOSE,0,4010,2017,1,1,0.156862746,0.454545455,0,0.5,0.5,0.128822733,0,0.119603356,0.112611992,0,0.068421052,0.333333333,0.111111111,0,0.723593074,0.175579323,0.666666667,0.391459766,0.322660818,0.361796537
2669,77,20170630SSSK0,20170630,SS,L,0.441176471,7.875,0.323529412,0.375,0,0,0,0.314285714,3,0.35,0.371428571,0,0.142857143,0.214285714,9,1,1,LOSE,0,4010,2017,0.566941298,0.318181818,0.647058824,0.272727273,0,0,0,0.490972356,0.214285714,0.522196797,0.259938958,0,0.293233083,0.214285714,0.5,0.2,1,0.622302109,0.666666667,0.622242194,0.251879699,0.6
2670,78,20170701SSSK0,20170701,SS,W,0.323529412,4,0.323529412,0.222222222,0,0,1,0.294117647,3,0.333333333,0.294117647,0,0.205882353,0.444444444,5,2,0.666666667,WIN,3,4013,2017,0.387744594,0.161616162,0.647058824,0.161616161,0,0,0.25,0.450608931,0.214285714,0.49122807,0.193497385,0,0.422600619,0.444444444,0.277777778,0.4,0.666666667,0.734020477,0.583333333,0.596005119,0.397316821,0.533333334
2671,79,20170702SSSK0,20170702,SS,L,0.64,12.46153846,0.16,0,0,0,0,0.416666667,5,0.5,1,3,0.208333333,0.25,9,1,1,LOSE,0,4013,2017,0.869783728,0.503496503,0.32,0,0,0,0,0.695872802,0.357142857,0.800915332,0.800137836,0.428571429,0.427631578,0.25,0.5,0.2,1,0.486679942,0.666666667,0.588336652,0.401550752,0.6
2672,80,20170704LTSS0,20170704,SS,W,0.181818182,2,0.333333333,0.222222222,0,1,1,0.178571429,3,0.258064516,0.464285714,2,0.142857143,0,3,0,0,WIN,3,4016,2017,0.171894018,0.080808081,0.666666666,0.161616161,0,0.25,0.25,0.21936014,0.214285714,0.351369307,0.339741065,0.285714286,0.293233083,0,0.166666667,0,0,0.813087101,0.666666667,0.369938442,0.353070176,0
2673,81,20170705LTSS0,20170705,SS,W,0.324324324,5,0.135135135,0.222222222,0,0,2,0.342857143,7,0.384615385,0.571428571,0,0.114285714,0.214285714,12,1,0.333333333,WIN,3,4019,2017,0.388955382,0.202020202,0.27027027,0.161616161,0,0,0.5,0.548153876,0.5,0.586516459,0.431820419,0,0.234586466,0.214285714,0.666666667,0.2,0.333333333,0.629419631,0.5,0.415688241,0.195551378,0.266666667
2674,82,20170706LTSS0,20170706,SS,L,0.363636364,4,0.181818182,0,0,2,0,0.228571429,3,0.27027027,0.4,0,0.057142857,0.166666667,9,0,0.723593074,LOSE,0,4019,2017,0.44883438,0.161616162,0.363636364,0,0,0.5,0,0.319427799,0.214285714,0.374049106,0.284493453,0,0.117293233,0.166666667,0.5,0,0.723593074,0.688296456,0.833333333,0.561305716,0.195989975,0.361796537
2675,83,20170707WOSS0,20170707,SS,L,0.487179487,9,0.051282051,0.222222222,0,1,0,0.27027027,3,0.325,0.27027027,0,0.054054054,0.222222222,11,0,0.723593074,LOSE,0,4019,2017,0.637011804,0.363636364,0.102564102,0.161616161,0,0.25,0,0.402881907,0.214285714,0.475743707,0.173002775,0,0.110953058,0.222222222,0.611111111,0,0.723593074,0.485074943,0.75,0.489667004,0.180516042,0.361796537
2676,84,20170708WOSS0,20170708,SS,L,0.485714286,10,0.228571429,0.444444444,0,3,0,0.352941176,8,0.454545455,0.588235294,1,0.235294118,0.5,11,0,0,LOSE,0,4019,2017,0.634780051,0.404040404,0.457142858,0.323232323,0,0.75,0,0.568335588,0.571428571,0.716455171,0.44626424,0.142857143,0.482972137,0.5,0.611111111,0,0,0.52377252,0.916666667,0.360109797,0.378679542,0
2677,85,20170709WOSS0,20170709,SS,W,0.1875,2,0.25,0.444444444,0,1,2,0.361111111,3,0.41025641,0.694444444,1,0.194444444,0.384615385,9,0,0.723593074,WIN,3,4022,2017,0.180548404,0.080808081,0.5,0.323232323,0,0.25,0.5,0.584686513,0.214285714,0.634160652,0.537541159,0.142857143,0.399122806,0.384615385,0.5,0,0.723593074,0.728852798,0.583333333,0.508944801,0.356648834,0.361796537
2678,86,20170711SSKT0,20170711,SS,W,0.333333333,2,0.222222222,0.444444444,0,1,1,0.258064516,5,0.351351351,0.580645161,2,0.129032258,0.25,6,0,0.723593074,WIN,3,4025,2017,0.402677652,0.080808081,0.444444444,0.323232323,0,0.25,0.25,0.378453883,0.357142857,0.524707774,0.439741224,0.285714286,0.264855688,0.25,0.333333333,0,0.723593074,0.659431597,0.666666667,0.512422834,0.36680916,0.361796537
2679,87,20170712SSKT0,20170712,SS,W,0.333333333,3,0.242424242,0,0,1,1,0.432432432,5,0.452380952,0.648648649,0,0.297297297,0.380952381,6,3,1,WIN,3,4028,2017,0.402677652,0.121212121,0.484848484,0,0,0.25,0.25,0.727425666,0.357142857,0.712433257,0.498183918,0,0.61024182,0.380952381,0.333333333,0.6,1,0.740239678,0.666666667,0.751726586,0.414465217,0.8
2680,88,20170713SSKT0,20170713,SS,L,0.484848485,9.346153846,0.151515152,0.923076923,0,2,0,0.3,7,0.391304348,0.575,1,0.175,0.176470588,14,1,1,LOSE,0,4028,2017,0.633461287,0.377622378,0.303030304,0.671328671,0,0.5,0,0.462381597,0.5,0.598945379,0.434889731,0.142857143,0.359210526,0.176470588,0.777777778,0.2,1,0.405154492,0.833333333,0.609621956,0.22519012,0.6
2681,89,20170718SSLT0,20170718,SS,L,0.344827586,5.625,0.275862069,0.625,0,1,0,0.111111111,3,0.142857143,0.111111111,0,0.074074074,0.333333333,2,0,0.723593074,LOSE,0,4028,2017,0.420185376,0.227272727,0.551724138,0.454545455,0,0.25,0,0.084348219,0.214285714,0.137299772,0.036220231,0,0.152046784,0.333333333,0.111111111,0,0.723593074,0.612430145,0.75,0.521505805,0.343567251,0.361796537
2682,90,20170719SSLT0,20170719,SS,W,0.242424242,0,0.303030303,0.555555556,0,2,0,0.205882353,3,0.27027027,0.558823529,2,0.088235294,0.25,7,0,0.723593074,WIN,3,4031,2017,0.264207471,0,0.606060606,0.404040404,0,0.5,0,0.274018945,0.214285714,0.374049106,0.420987554,0.285714286,0.181114551,0.25,0.388888889,0,0.723593074,0.734453183,0.833333333,0.572844898,0.331984987,0.361796537
2683,91,20170720SSLT0,20170720,SS,D,0.261904762,3,0.261904762,0.583333333,0,1,0,0.186046512,5,0.270833333,0.23255814,0,0.069767442,0.25,9,1,1,WIN,1,4032,2017,0.293879653,0.121212121,0.523809524,0.424242424,0,0.25,0,0.234320422,0.357142857,0.375095347,0.140592695,0,0.143206855,0.25,0.5,0.2,1,0.671118831,0.75,0.655279708,0.223301714,0.6
2684,92,20170721LGSS0,20170721,SS,L,0.466666667,8.181818182,0.177777778,0.454545455,1,3,0,0.219512195,0,0.219512195,0.365853659,1,0.097560976,0.25,6,1,1,LOSE,0,4032,2017,0.605767251,0.330578512,0.355555556,0.330578513,0.5,0.75,0,0.301297073,0,0.279734331,0.255147838,0.142857143,0.20025674,0.25,0.333333333,0.2,1,0.52215782,0.75,0.618039455,0.314945137,0.6
2685,93,20170723LGSS0,20170723,SS,W,0.3125,6,0.21875,0.222222222,0,2,0,0.314285714,4,0.365853659,0.6,1,0.2,0.384615385,7,1,1,WIN,3,4035,2017,0.370944902,0.242424242,0.4375,0.161616161,0,0.5,0,0.490972356,0.285714286,0.551654854,0.456374914,0.142857143,0.410526316,0.384615385,0.388888889,0.2,1,0.665628673,0.833333333,0.674740502,0.387277489,0.6
2686,94,20170725NCSS0,20170725,SS,W,0.25,1,0.3125,0.222222222,0,0,0,0.222222222,1,0.24137931,0.37037037,0,0.111111111,0.5,3,1,0.5,WIN,3,4038,2017,0.275746653,0.04040404,0.625,0.161616161,0,0,0,0.306720794,0.071428571,0.320366132,0.259029532,0,0.228070175,0.5,0.166666667,0.2,0.5,0.786808286,0.666666667,0.538368738,0.390350877,0.35
2687,95,20170726NCSS0,20170726,SS,W,0.258064516,1,0.258064516,0.444444444,0,1,0,0.266666667,4,0.3125,0.666666667,3,0.166666667,0.25,5,0,0.723593074,WIN,3,4041,2017,0.288030298,0.04040404,0.516129032,0.323232323,0,0.25,0,0.395669825,0.285714286,0.452517163,0.513668734,0.428571429,0.342105264,0.25,0.277777778,0,0.723593074,0.716115593,0.75,0.547427167,0.435724729,0.361796537
2688,96,20170727NCSS0,20170727,SS,L,0.441176471,7,0.235294118,0.333333333,0,2,1,0.103448276,2,0.161290323,0.103448276,0,0,0,4,1,1,LOSE,0,4041,2017,0.566941298,0.282828283,0.470588236,0.242424242,0,0.5,0.25,0.069012179,0.142857143,0.171550898,0.029634735,0,0,0,0.222222222,0.2,1,0.594598603,0.75,0.636149651,0.194444444,0.6
2689,97,20170728SSWO0,20170728,SS,W,0.305555556,2,0.194444444,0.222222222,0,0,1,0.422222222,2,0.446808511,0.911111111,2,0.2,0.461538462,11,0,0.723593074,WIN,3,4044,2017,0.36036732,0.080808081,0.388888888,0.161616161,0,0,0.25,0.70699143,0.142857143,0.702078973,0.723746075,0.285714286,0.410526316,0.461538462,0.611111111,0,0.723593074,0.696524331,0.583333333,0.500862685,0.386666988,0.361796537
2690,98,20170729SSWO0,20170729,SS,L,0.552631579,15.75,0.184210526,0.75,0,1,0,0.289473684,2,0.307692308,0.447368421,0,0.026315789,0.230769231,12,1,1,LOSE,0,4044,2017,0.736706597,0.636363636,0.368421052,0.545454545,0,0.25,0,0.441314721,0.142857143,0.443583877,0.32520222,0,0.05401662,0.230769231,0.666666667,0.2,1,0.362474068,0.75,0.578118517,0.154529796,0.6
2691,99,20170730SSWO0,20170730,SS,L,0.585365854,10.125,0.243902439,0.375,0,0,1,0.277777778,1,0.297297297,0.583333333,2,0.055555556,0,6,0,0.723593074,LOSE,0,4044,2017,0.786566528,0.409090909,0.487804878,0.272727273,0,0,0.25,0.417907082,0.071428571,0.424268662,0.442051458,0.285714286,0.114035089,0,0.333333333,0,0.723593074,0.504855042,0.583333333,0.452945362,0.26660401,0.361796537
